Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
United Arab Emirates,2021-09-15 06:21:33,23.424076,53.847818,730135,2066,,,7382.259564830542,,,0.2829613701575736,784,ARE,26135,60
United Kingdom,2021-09-15 06:21:33,55.0,-3.0,7316931,134774,,,10778.261451358958,,,1.841947122365921,826,GBR,964707,3308
Uruguay,2021-09-15 06:21:33,-32.5228,-55.7658,387028,6044,,,11141.577907532745,,,1.5616441187717685,858,URY,3523,37
Uzbekistan,2021-09-15 06:21:33,41.377491,64.585262,165421,1164,,,494.2484581121885,,,0.7036591484757074,860,UZB,20657,177
Vanuatu,2021-09-15 06:21:33,-15.3767,166.9592,4,1,,,1.3666803334700013,,,25.0,548,VUT,0,0
Venezuela,2021-09-15 06:21:33,6.4238,-66.5897,349731,4228,,,1229.8906352428685,,,1.2089291484026294,862,VEN,28918,399
Vietnam,2021-09-15 06:21:33,14.058324,108.277199,635055,15936,,,652.418578971917,,,2.509388950563337,704,VNM,341754,9464
West Bank and Gaza,2021-09-15 06:21:33,31.9522,35.2332,374768,3837,,,7346.3524637081155,,,1.0238334116039791,275,PSE,53737,212
Yemen,2021-09-15 06:21:33,15.552727,48.516388,8502,1608,,,28.50536150243305,,,18.91319689484827,887,YEM,1155,201
Zambia,2021-09-15 06:21:33,-13.133897,27.849332,208049,3635,,,1131.6878695749706,,,1.7471845574840543,894,ZMB,5262,85
Zimbabwe,2021-09-15 06:21:33,-19.015438,29.154857,126817,4550,,,853.2437789676286,,,3.5878470552055326,716,ZWE,5771,394
