Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities
Lingala Chiranjeevi,Andhra Chaitanya Party,0,12th Pass,28,330000,Vizianagaram,0
Mukka Sreenivasa Rao,Janasena Party,0,10th Pass,39,13428596,Vizianagaram,0
Pentapati Rajesh,IND,0,Others,39,50000,Vizianagaram,16000
Ramu Naidu Yijurothu,IND,0,10th Pass,47,100000,Vizianagaram,0
Sanyasi Raju Pakalapati,BJP,0,Graduate,60,125155000,Vizianagaram,22688000
Venkata Trindha Rao Veluri	,IND,0,Graduate Professional,52,94198,Vizianagaram,0
Yella Rao Siyyadula,IND,0,12th Pass,37,57000,Vizianagaram,0
Tapir Gao,BJP,0,Post Graduate,54,136628259,Arunachal East,0
Bandey Mili,JD(S),0,12th Pass,38,12720974,Arunachal East,0
C. C. Singpho,IND,0,Graduate,68,27303830,Arunachal East,0
Lowangcha Wanglat,INC,0,Graduate,69,353530297,Arunachal East,4168771
Mongol Yomso,Peoples Party of Arunachal,0,12th Pass,47,10452925,Arunachal East,0
Kiren Rijiju,BJP,0,Graduate Professional,47,15279000,Arunachal West,0
Jarjum Ete,JD(S),0,Post Graduate,56,38265000,Arunachal West,0
Jomin Nyokir Kara,AIFB,0,Graduate,38,23990000,Arunachal West,0
Khyoda Apik,NPP, 1 ,12th Pass,42,300737886,Arunachal West,7500000
Nabam Tuki,INC, 1 ,Graduate,51,1002950534,Arunachal West,204955775
Rumak Jomoh,IND,0,Graduate Professional,32,55855,Arunachal West,0
Subu Kechi,Peoples Party of Arunachal,0,Graduate Professional,45,1955000,Arunachal West,0
Horen Sing Bey,BJP, 2 ,Graduate,49,20693570,Autonomous District,5956209
Biren Singh Engti,INC,0,Post Graduate,76,7866276,Autonomous District,0
Holiram Terang,Autonomous State Demand Committee,0,Graduate,61,53785471,Autonomous District,5000000
Lienkhochon,NPP,0,8th Pass,39,6830962,Autonomous District,1606436
Abdul Khaleque,INC,0,Post Graduate,44,7398753,Barpeta,2703693
Arfan Ali,IND,0,12th Pass,37,4771389,Barpeta,0
Aroon Barooa,Purvanchal Janta Party (Secular),0,Post Graduate,62,703000,Barpeta,0
Ashahak Ali Dewan,AITC,0,Graduate,65,1360000,Barpeta,0
Bhadreswar Barman,National Republican Congress,0,12th Pass,45,80300,Barpeta,0
Chitralekha Das,SUCI(C),0,Graduate Professional,64,2270544,Barpeta,0
Kumar Deepak Das,Asom Gana Parishad, 1 ,Graduate Professional,66,23701000,Barpeta,1032000
Matiar Rahman,The National Road Map Party of India,0,10th Pass,35,503696,Barpeta,0
Pranabjyoti Das Rajbonshi,NPP,0,Post Graduate,45,3456311,Barpeta,0
Rafiqul Islam,AIUDF, 2 ,Doctorate,44,3389683,Barpeta,430436
Rejaul Karim,RPI(A),0,10th Pass,36,568374,Barpeta,450000
Saniara Parbin,Voters Party International,0,Graduate,29,5070000,Barpeta,0
Santanu Mukherjee,Bharatiya Gana Parishad,0,Graduate,44,1205081,Barpeta,0
Badruddin Ajmal,AIUDF, 7 ,Post Graduate,63,788064044,Dhubri,10159381
Abu Taher Bepari,INC, 1 ,Post Graduate,52,37395652,Dhubri,2210543
Alakesh Roy,Hindusthan Nirman Dal,0,Graduate,39,2540000,Dhubri,0
Anamika Sarkar,IND,0,Post Graduate,43,6200000,Dhubri,0
Johirul Islam Khan,Purvanchal Janta Party (Secular),0,Graduate,36,478362,Dhubri,0
Mehbubar Rahman,RPI(A),0,10th Pass,46,490400,Dhubri,0
Mir Hussain Sarkar,IND,0,Graduate,28,168201,Dhubri,359305
Nripen Das,Bharatiya National Janta Dal,0,10th Pass,45,60000,Dhubri,0
Nurul Islam Choudhury,AITC,0,Graduate Professional,67,6623252,Dhubri,120410
Rukunur Zaman,IND,0,8th Pass,41,1290000,Dhubri,0
Shajahan Sheikh,Voters Party International,0,Post Graduate,49,513496,Dhubri,0
Shukur Ali,IND,0,12th Pass,26,250000,Dhubri,0
Surat Jaman Mondal,SUCI(C),0,Graduate,64,1661652,Dhubri,0
Uttam Kumar Ray,IND, 1 ,Graduate,36,63245,Dhubri,0
Zabed Islam,Asom Gana Parishad,0,Graduate,51,12133685,Dhubri,1391293
Rameswar Teli,BJP,0,10th Pass,48,4370067,Dibrugarh,0
Apurba Saikia,IND,0,Graduate,44,613735,Dibrugarh,0
Bhaben Baruah,NPP, 1 ,12th Pass,59,17339652,Dibrugarh,0
Dr. Titus Bhengra,Bahujan Mukti Party,0,Doctorate,60,910903,Dibrugarh,0
Israil Nanda,IND,0,10th Pass,62,8797182,Dibrugarh,1004704
Md. Nurul Huda Imdadul Islam Saikia,IND,0,Graduate,51,7041827,Dibrugarh,1648
Paban Singh Ghatowar,INC,0,Graduate,67,57488181,Dibrugarh,0
Rubul Buragohain,IND,0,10th Pass,43,103362,Dibrugarh,30000
Queen Oja,BJP,0,Graduate,67,630219570,Gauhati,34034178
Alimuddin Ahmed,IND,0,Post Graduate,47,7373200,Gauhati,2914356
Bobbeeta Sharma,INC,0,Post Graduate,52,162399812,Gauhati,17591733
Dr. Avijit Chakraborty,Bharatiya Gana Parishad,0,Graduate Professional,49,1271260,Gauhati,0
Dr. Faruk Ahmed Bhuyan,IND,0,Others,40,9272500,Gauhati,200000
Junmoni Devi Khaund,IND,0,Post Graduate,43,344270772,Gauhati,131643595
Mamoni Sarma,Purvanchal Janta Party (Secular),0,10th Pass,55,61000,Gauhati,0
Manoj Sharma,AITC, 5 ,10th Pass,45,7300018,Gauhati,1833258
Pankaj Das,Swarna Bharat Party,0,Post Graduate,48,59950517,Gauhati,2975976
Partha Pratim Baruah,Voters Party International,0,Post Graduate,30,67050,Gauhati,0
Rajib Kakati,Hindusthan Nirman Dal,0,Graduate,46,6786796,Gauhati,2095250
Ratul Kumar Choudhury,SP,0,Graduate,47,2441699,Gauhati,300000
Rubi Neog,National Republican Congress,0,Graduate,40,167000,Gauhati,0
Sadek Ali,RPI(A), 2 ,10th Pass,48,2773226,Gauhati,0
Sri Shankha Sinha,IND,0,12th Pass,46,779928,Gauhati,93540
Upamanyu Hazarika,IND,0,Graduate Professional,53,64530377,Gauhati,2602358
Utpal Borgohain,IND,0,Graduate,62,7796625,Gauhati,60000
Topon Kumar Gogoi,BJP,0,Post Graduate,50,12597461,Jorhat,455398
Arbin Kumar Boruah,IND,0,10th Pass,34,5857886,Jorhat,0
Kamala Raj Konwar,NPP,0,10th Pass,60,18839210,Jorhat,0
Kanak Gogoi,CPI,0,Post Graduate,42,23894,Jorhat,0
Nandita Nag,IND,0,Post Graduate,47,10558481,Jorhat,6000000
Raj Kumar Duwara,AIFB,0,10th Pass,53,1130000,Jorhat,0
Ribulaya Gogoi,AITC,0,Graduate,38,1119987,Jorhat,585
Sushanta Borgohain,INC,0,Graduate,44,21516244,Jorhat,0
Gaurav Gogoi,INC,0,Post Graduate,36,13727834,Kaliabor,1250000
Abdul Aziz,NPP,0,Graduate,60,3594488,Kaliabor,0
Md. Hariqul Islam Bhuyan,Asom Jana Morcha,0,Graduate Professional,51,3820000,Kaliabor,0
Moni Madhab Mahanta,Asom Gana Parishad,0,Post Graduate,41,2750757,Kaliabor,0
Shree Diganta Kumar Saikia,Hindusthan Nirman Dal, 1 ,10th Pass,48,16212412,Kaliabor,0
Sri Bhaskar Sarmah,IND,0,12th Pass,33,10978456,Kaliabor,0
Sri Jiten Gogoi,IND, 1 ,8th Pass,57,90303570,Kaliabor,1100000
Kripanath Mallah,BJP,0,Graduate,46,1871040,Karimganj,0
Ajoy Kumar Sarkar,AIFB,0,12th Pass,64,288098,Karimganj,0
Anupam Singha,IND,0,12th Pass,34,190360,Karimganj,0
Chandan Das,AITC,0,12th Pass,27,1850000,Karimganj,0
Hiralal Rabidas,IND,0,8th Pass,43,5453171,Karimganj,0
Nikhil Ranjan Das,Hindusthan Nirman Dal,0,10th Pass,50,1000000,Karimganj,0
Parikshit Roy,IND,0,10th Pass,48,790000,Karimganj,0
Probash Chandra Sarkar,SUCI(C),0,12th Pass,47,143000,Karimganj,0
Rabindra Chandra Das,IND,0,8th Pass,52,90000,Karimganj,0
Radheshyam Biswas,AIUDF,0,12th Pass,66,12170204,Karimganj,0
Raju Das,IND,0,Graduate,43,717404,Karimganj,0
Ramnarayan Suklabaidya,IND,0,5th Pass,59,100000,Karimganj,0
Satyajit Das,IND,0,10th Pass,35,80000,Karimganj,50000
Swarup Das,INC, 1 ,Graduate,37,9106386,Karimganj,4782191
Naba Kumar Sarania,IND, 5 ,12th Pass,50,13013994,Kokrajhar,175069
Biraj Deka,CPI(M),0,Post Graduate,26,1533900,Kokrajhar,248000
Charan Iswary,Purvanchal Janta Party (Secular),0,10th Pass,39,565596,Kokrajhar,25000
Pramila Rani Brahma,Bodoland Peoples Front,0,Graduate,69,44714985,Kokrajhar,0
Prasanjit Kumar Das,IND,0,10th Pass,32,496809,Kokrajhar,0
Rajesh Narzary,Voters Party International,0,12th Pass,45,1257550,Kokrajhar,0
Ranjoy Kr. Brahma,IND,0,Post Graduate,30,102438,Kokrajhar,0
Sabda Ram Rabha,INC,0,Graduate Professional,50,5327404,Kokrajhar,200000
Urkhao Gwra Brahma,"United Peoples Party, Liberal",0,Graduate,56,15108266,Kokrajhar,0
Pradan Baruah,BJP,0,12th Pass,53,14307978,Lakhimpur,5839285
Amiya Kumar Handique,CPI(M),0,Post Graduate,65,633000,Lakhimpur,0
Anil Borgohain,INC,0,10th Pass,51,51185000,Lakhimpur,0
Anup Pratim Borbaruah,NCP,0,Post Graduate,51,547573,Lakhimpur,0
Arup Kalita,CPI,0,Graduate Professional,51,2519069,Lakhimpur,0
Bhupen Narah,Voters Party International,0,Post Graduate,56,746500,Lakhimpur,0
Dilip Moran,Assam Dristi Party,0,12th Pass,52,29622141,Lakhimpur,1591682
Hem Kanta Miri,SUCI(C),0,Graduate Professional,37,256271,Lakhimpur,0
Md Ambaz Uddin,IND,0,10th Pass,51,100000,Lakhimpur,0
Probhu Lal Vaisnava,IND,0,12th Pass,44,1900000,Lakhimpur,324000
Ubaidur Rahman,Asom Jana Morcha,0,5th Pass,36,2690160,Lakhimpur,0
Shri Dilip Saikia,BJP,0,Graduate,45,6206286,Mangaldoi,0
Ainul Haque,Asom Jana Morcha,0,10th Pass,36,2000000,Mangaldoi,0
Bhubaneswar Kalita,INC,0,Post Graduate,67,126699173,Mangaldoi,0
Gandheswar Mochahari,Voters Party International,0,12th Pass,47,1150000,Mangaldoi,0
Jayanta Kumar Kalita,IND,0,Graduate,41,4160000,Mangaldoi,155000
Kazi Nekib Ahmed,IND,0,Graduate,60,17022000,Mangaldoi,0
Mani Ram Basumatari,Hindusthan Nirman Dal,0,10th Pass,41,4270311,Mangaldoi,0
Prodeep Kumar Daimary,IND,0,Post Graduate,55,1035500,Mangaldoi,0
Sri Biren Basak,Bharatiya Gana Parishad,0,12th Pass,44,10286450,Mangaldoi,2187142
Sudhendu Mohan Talukdar,AITC,0,Graduate,43,3840000,Mangaldoi,1430957
Swarnalata Chaliha,SUCI(C),0,Post Graduate,44,32900,Mangaldoi,0
Pradyut Bordoloi,INC,0,Post Graduate,59,74143272,Nawgong,4011152
Azgor Ali,Purvanchal Janta Party (Secular),0,10th Pass,38,950000,Nawgong,0
Sahadeb Das,AITC, 1 ,Post Graduate,54,427137,Nawgong,0
Saiful Islam Choudhury,Asom Jana Morcha,0,Graduate Professional,52,9421596,Nawgong,1264426
Sri Rupak Sharma,BJP,0,Graduate,46,62717347,Nawgong,7224404
Sukanta Mazumdar,Bharatiya Gana Parishad,0,12th Pass,36,328914,Nawgong,68000
Zakir Hussain,IND,0,Graduate,43,4185000,Nawgong,0
Rajdeep Roy,BJP,0,Post Graduate,48,29901767,Silchar,6976701
Ashitava Dutta,IND,0,Post Graduate,44,460000,Silchar,202952
Ashutosh Bhattacharjee,IND,0,10th Pass,42,397019,Silchar,800000
Badrul Islam Barbhuiya,AIFB,0,Graduate,44,2636943,Silchar,0
Hitabrata Roy,AITC,0,Graduate Professional,76,3365000,Silchar,0
Mohendra Chandra Das,IND,0,8th Pass,44,162949,Silchar,0
Nazia Yasmin Mazumdar,NPP,0,Graduate Professional,38,11172625,Silchar,1680213
Nazmul Haque Laskar,IND,0,10th Pass,48,519748,Silchar,0
Puran Lal Goala,IND,0,10th Pass,29,410761,Silchar,0
Sabindra Das,IND,0,Literate,48,128684,Silchar,0
Shuvadip Datta,IND,0,12th Pass,53,7370000,Silchar,500000
Shyam Deo Kurmi,SUCI(C),0,Post Graduate,66,4731177,Silchar,0
Smt. Sushmita Dev,INC, 1 ,Post Graduate,46,106707145,Silchar,19405127
Pallab Lochan Das,BJP,0,Graduate,41,14445139,Tezpur,0
Bijoy Kumar Tiru,IND,0,Graduate,68,4136542,Tezpur,100000
M.G.V.K. Bhanu,INC,0,Post Graduate,60,82846198,Tezpur,0
Mahendra Bhuyan,NCP, 2 ,Graduate,67,6304000,Tezpur,0
Mahendra Orang,Voters Party International,0,10th Pass,41,40000,Tezpur,0
Ram Bahadur Sunar,NPP,0,Graduate Professional,50,15815131,Tezpur,531152
Ziabur Rahman Khan,IND, 2 ,10th Pass,36,2227138,Tezpur,193616
Pradeep Kumar Singh,BJP, 3 ,10th Pass,52,5010577,Araria,1159200
Abdul Wahid Khan,IND, 1 ,10th Pass,69,1545000,Araria,119028
Md Matin,IND, 1 ,Literate,31,602510,Araria,0
Md Minhaz Alam,IND,0,10th Pass,33,1110500,Araria,0
Md Mobinul Haque,IND,0,Post Graduate,46,572000,Araria,0
Mukesh Singh,IND,0,8th Pass,36,1240800,Araria,0
Ram Narayan Bharti,BSP,0,Post Graduate,46,6916000,Araria,1000000
Ramanand Rishideo,IND,0,12th Pass,66,50000,Araria,0
Sarfaraz Alam,RJD, 6 ,Graduate,50,76618366,Araria,8566199
Shaheen Praveen,IND, 1 ,Others,28,12421636,Araria,300000
Sudama Singh,Bihar Lok Nirman Dal, 2 ,10th Pass,54,5695500,Araria,99000
Tarachand Paswan,Bahujan Mukti Party, 2 ,10th Pass,60,4915399,Araria,1174006
R. K. Singh,BJP, 1 ,Graduate Professional,66,79971720,Arrah,0
Anil Kumar Singh,Pragatishil Samajwadi Party (Lohia),0,Doctorate,66,2778737,Arrah,3008344
Bharat Bhushan Pandey,Akhil Bharatiya Jan Sangh,0,Doctorate,45,2217678,Arrah,160000
Dr. Kumar Sheelbhadra,IND,0,Post Graduate,53,5237000,Arrah,0
Krishna Paswan,Bhartiya Kranti Vir Party, 1 ,12th Pass,48,1441500,Arrah,65000
Lakshaman Kumar Ojha,IND,0,Graduate,48,33675230,Arrah,10500000
Manoj Yadav,BSP,0,Graduate,38,13998292,Arrah,0
Raj Giri Bhagat,Shoshit Samaj Dal,0,12th Pass,70,4437819,Arrah,0
Raju Yadav,CPI(ML)(L), 1 ,Post Graduate,36,682315,Arrah,0
Ram Raj Singh,IND,0,Graduate,61,15378047,Arrah,0
Shiv Das Singh,IND,0,12th Pass,80,3196572,Arrah,0
Sushil Kumar Singh,BJP, 3 ,Post Graduate,53,167895109,Aurangabad,3746607
Avinash Kumar,Peoples Party of India (Democratic),0,Post Graduate,35,3717856,Aurangabad,0
Dhirendra Kumar Singh,IND,0,Graduate,62,8389250,Aurangabad,0
Dr Dharmendra Kumar,Akhil Hind Forward Bloc (Krantikari), 1 ,Graduate,42,6006600,Aurangabad,0
Naresh Yadav,BSP, 5 ,Literate,34,12674177,Aurangabad,824000
Santosh Kumar Sinha,IND,0,Graduate,43,1275000,Aurangabad,0
Som Prakash,Swaraj Party (Loktantrik),0,Graduate,46,143780000,Aurangabad,0
Upendra Prasad,Hindustani Awam Morcha (Secular),0,Post Graduate,55,20394370,Aurangabad,471998
Yogendra Ram,IND,0,Literate,58,155000,Aurangabad,0
Giridhari Yadav,JD(U), 1 ,Post Graduate,58,19816050,Banka,405701
Amarjeet Kumar,IND, 4 ,12th Pass,34,6940000,Banka,2250000
Jai Prakash Narayan Yadav,RJD, 2 ,Post Graduate,65,68739932,Banka,618721
Kailash Prasad Singh,Pragatishil Samajwadi Party (Lohia),0,Graduate Professional,54,3861163,Banka,0
Manoj Kumar Sah,IND,0,10th Pass,44,41500,Banka,0
Md. Mukhtar Alam,IND,0,8th Pass,32,1737000,Banka,0
Md. Rafique Alam,BSP, 1 ,Graduate,50,16862361,Banka,97503
Mp Yadav,IND,0,8th Pass,50,2636099,Banka,32884
Mritiunjay Roy,IND,0,Literate,38,2605273,Banka,0
Naresh Yadav,IND,0,Literate,35,2147807,Banka,90000
Neelu Devi,Bhartiya Dalit Party,0,8th Pass,43,3752672,Banka,0
Pawan Thakur,IND,0,10th Pass,42,3326284,Banka,0
Phesal Ansari,Bharatiya Momin Front,0,8th Pass,26,2245200,Banka,0
Pramod Singh Weldone,IND, 4 ,10th Pass,50,31315852,Banka,81524
Pravin Kumar Jha,IND,0,12th Pass,46,7341490,Banka,0
Putul Kumari,IND, 3 ,Post Graduate,61,53801629,Banka,1700000
Rajkishor Prasad,JMM, 2 ,12th Pass,42,173443409,Banka,7359160
Sanjiv Kumar Kunal,IND,0,Graduate,25,Nil,Banka,0
Syed Alamdar Hussain,IND, 1 ,12th Pass,43,3895000,Banka,0
Umakant Yadav,IND,0,Graduate Professional,68,1076000,Banka,0
Giriraj Singh,BJP, 6 ,Graduate,66,83024577,Begusarai,12236000
Amar Kumar,IND, 1 ,Literate,31,4300000,Begusarai,0
Dhiraj Narain,IND,0,12th Pass,78,130000,Begusarai,0
Gaurav Kumar,Bhartiya Lokmat Rashtrwadi Party,0,Post Graduate,29,411026,Begusarai,0
Kanhaiya Kumar,CPI, 5 ,Doctorate,32,557848,Begusarai,0
Maksudan Paswan,Bahujan Mukti Party,0,Literate,57,1470855,Begusarai,30000
Md. Tanweer Hassan,RJD, 1 ,Doctorate,59,15483136,Begusarai,1446000
Saurabh,IND,0,12th Pass,27,2017370,Begusarai,0
Shambhu Kumar Singh,IND, 1 ,Doctorate,41,775000,Begusarai,50000
Umesh Patel,Shoshit Samaj Dal,0,10th Pass,57,2753500,Begusarai,0
Ajay Kumar Mandal,JD(U),0,8th Pass,41,6801126,Bhagalpur,5364747
Abhishek Priyadarshi,IND,0,12th Pass,37,9709948,Bhagalpur,4070000
Deepak Kumar,SUCI(C),0,Others,39,2933495,Bhagalpur,0
Mohammad Ashiq Ibrahimi,BSP, 1 ,Doctorate,67,1772515,Bhagalpur,0
Nurullah,IND,0,Graduate,43,11289304,Bhagalpur,0
Satyendra Kumar,AAP,0,Graduate Professional,47,29785377,Bhagalpur,1520000
Shailesh Kumar,RJD,0,12th Pass,43,30364808,Bhagalpur,2180647
Sunil Kumar,IND,0,Graduate Professional,53,12329000,Bhagalpur,2300000
Sushil Kumar Das,Bhartiya Dalit Party,0,10th Pass,68,505000,Bhagalpur,0
Ashwini Kumar Choubey,BJP, 3 ,Graduate,66,40183612,Buxar,1350667
Anil Kumar,Jantantrik Vikas Party, 22 ,Graduate,46,162240912,Buxar,13103750
Anil Kumar Rai,Rashtriya Dal United, 3 ,Post Graduate,56,11457400,Buxar,168000
Arvind Kumar Pandey,IND,0,Post Graduate,33,1521000,Buxar,0
Binod Kumar Bikrant,Peoples Party of India (Democratic),0,Post Graduate,43,465000,Buxar,0
Dhanjit Singh,Voters Party International, 4 ,12th Pass,43,5500000,Buxar,0
Jagadanand Singh,RJD, 1 ,Graduate Professional,75,35871242,Buxar,530000
Jay Prakash Ram,IND,0,12th Pass,26,478000,Buxar,0
Rakesh Kumar Rai,IND,0,10th Pass,45,46812000,Buxar,86000
Ranjit Singh,IND, 2 ,12th Pass,75,24344242,Buxar,500000
Ravi Raj,Pragatishil Samajwadi Party (Lohia),0,Post Graduate,40,6957512,Buxar,2800000
Santosh Kumar Yadav,Bahujan Mukti Party, 1 ,12th Pass,46,3408807,Buxar,720000
Sushil Kumar Singh,BSP, 1 ,Graduate Professional,50,9632514,Buxar,265000
Uday Narayan Rai,Suheldev Bhartiya Samaj Party,0,Graduate,34,695070,Buxar,0
Gopaljee Thakur,BJP,0,Post Graduate,49,19301808,Darbhanga,1039660
Abdul Ajij,IND, 2 ,8th Pass,69,435000,Darbhanga,0
Abdul Bari Siddiqui,RJD,0,12th Pass,67,21127716,Darbhanga,911152
Md. Mukhtar,BSP, 1 ,Literate,54,7761074,Darbhanga,120000
Pankaj Kumar Singh,IND,0,10th Pass,44,632125,Darbhanga,0
Saguni Ray,IND,0,Literate,58,574658,Darbhanga,0
Sanjay Paswan,IND, 1 ,10th Pass,45,464226,Darbhanga,0
Saroj Kumar Chaudhary,Mithilanchal Mukti Morcha, 3 ,10th Pass,42,3452000,Darbhanga,0
Vijay Kumar,JD(U), 3 ,12th Pass,55,12766141,Gaya,3148932
Dayanand Rajwanshi,Moolniwasi Samaj Party,0,Post Graduate,27,414000,Gaya,0
Dilip Kumar,BSP,0,Graduate,48,1822000,Gaya,166454
Din Dayal Bharti,NCP,0,12th Pass,47,3440000,Gaya,0
Giridhar Sapera,Bharatiya Rashtriya Morcha,0,12th Pass,38,602000,Gaya,0
Jitan Ram Manjhi,Hindustani Awam Morcha (Secular), 3 ,Graduate,73,3594156,Gaya,61622
Prakash Chandra,Public Mission Party,0,Graduate,53,8191437,Gaya,3840400
Rajesh Kumar Paswan,Aam Janta Party Rashtriya,0,10th Pass,38,986000,Gaya,500000
Rakesh Chaudhari,Moulik Adhikar Party,0,12th Pass,46,3534000,Gaya,218000
Shiv Shankar,Ambedkarite Party of India, 1 ,Post Graduate,61,4080034,Gaya,0
Sunil Paswan,Bharat Bhrashtachar Mitao Party,0,10th Pass,52,1694622,Gaya,0
Umesh Rajak,Peoples Party of India (Democratic),0,Graduate Professional,49,135315,Gaya,0
Vijay Kumar Chaudhari,Janta Dal Rashtravadi,0,Post Graduate,49,4545813,Gaya,559100
Dr. Alok Kumar Suman,JD(U),0,Post Graduate,61,32739903,Gopalganj,3576376
Ajay Paswan,SHS, 2 ,Graduate,46,9352000,Gopalganj,0
Dilip Kumar Manjhi,IND,0,Graduate,44,11019000,Gopalganj,0
Dinanath Manjhi,IND,0,Graduate,40,6959365,Gopalganj,0
Gaya Ram,IND,0,Post Graduate,66,7302000,Gopalganj,0
Kunal Kishore Vivek,BSP,0,Post Graduate,29,200000,Gopalganj,0
Om Prakash Manjhi,Jai Prakash Janata Dal, 1 ,Literate,37,2634834,Gopalganj,0
Ram Kumar Manjhi,IND,0,Graduate,39,2860000,Gopalganj,0
Suraj Kumar,IND,0,Post Graduate,29,1483579,Gopalganj,0
Surendra Ram S/O Ganesh Ram,RJD, 1 ,Graduate,41,8195606,Gopalganj,21600
Surendra Ram S/O Late Chandradev Ram,IND, 3 ,Literate,46,4069000,Gopalganj,50000
Uma Shankar Kharwar,IND,0,Graduate Professional,64,32115837,Gopalganj,0
Pashupati Kumar Paras,LJP, 1 ,Graduate Professional,66,62834200,Hajipur,6744375
Arvind Paswan,IND,0,12th Pass,33,1205263,Hajipur,47000
Balendra Das,Jai Prakash Janata Dal, 2 ,Post Graduate,47,1291243,Hajipur,120000
Dasai Chaudhary,NCP,0,Graduate,67,18700047,Hajipur,900000
Jibas Paswan,SUCI(C), 1 ,10th Pass,45,543600,Hajipur,50000
Kumari Aashiki,Sathi Aur Aapka Faisala Party,0,Graduate Professional,30,3142887,Hajipur,0
Raj Kumar Paswan,IND,0,12th Pass,32,27000,Hajipur,0
Rajgir Paswan,Bajjikanchal Vikas Party,0,Literate,41,1082600,Hajipur,0
Shivchandra Ram,RJD, 3 ,Graduate,49,18630915,Hajipur,4997011
Shiwani Kant,IND,0,Graduate,32,4532567,Hajipur,1556750
Umesh Das,BSP,0,10th Pass,47,11021433,Hajipur,1500000
Chandeshwar Prasad,JD(U), 3 ,10th Pass,68,139271693,Jahanabad,0
Arbind Kumar,Rajnaitik Vikalp Party, 1 ,Doctorate,68,912002858,Jahanabad,1292562
Arun Kumar,Rashtriya Samta Party (Secular), 3 ,Doctorate,60,69473960,Jahanabad,1115692
Avinash Kumar,Bharatiya Bahujan Congress,0,Graduate,27,996000,Jahanabad,0
Chandra Prakash,IND,0,Post Graduate,37,12502946,Jahanabad,8500000
Kunti Devi,CPI(ML)(L), 5 ,Literate,54,415800,Jahanabad,0
Mira Kumari Yadav,Shoshit Samaj Dal,0,Graduate,41,61482,Jahanabad,0
Nityanand Singh,BSP, 3 ,12th Pass,38,36929975,Jahanabad,698096
Rajendra Paswan,Lok Jan Vikas Morcha,0,Literate,67,102000,Jahanabad,0
Ramjee Kewat,Rashtriya mahan Gantantra Party,0,12th Pass,56,5432000,Jahanabad,0
Sunil Kumar,Peoples Party of India (Democratic),0,Graduate,38,2553613,Jahanabad,0
Surendra Prasad Yadav,RJD, 8 ,Post Graduate,60,87352346,Jahanabad,3063057
Uma Shankar Verma,SUCI(C),0,Graduate,40,4056240,Jahanabad,0
Chirag Kumar Paswan,LJP, 1 ,Graduate Professional,37,18466066,Jamui,0
Ajay Kumar,Bhartiya Dalit Party, 1 ,Post Graduate,31,64000,Jamui,0
Balmiki Paswan,Hindusthan Nirman Dal,0,Graduate,60,12704335,Jamui,1600
Bhudeo Choudhary,Rashtriya Lok Samta Party, 3 ,Graduate,56,17723000,Jamui,1500000
Pankaj Kumar Das,SUCI(C),0,12th Pass,35,824836,Jamui,0
Subhash Paswan,IND,0,Graduate,51,1770000,Jamui,0
Virendra Kumar,IND,0,Graduate,60,21537694,Jamui,555000
Vishnu Priya,Bahujan Mukti Party,0,Graduate,32,8810000,Jamui,0
Ramprit Mandal,JD(U), 1 ,10th Pass,63,88119686,Jhanjharpur,1000000
Bablu Gupta,IND, 1 ,10th Pass,26,2053000,Jhanjharpur,0
Bipin Kumar Singhwait,IND,0,Graduate Professional,29,5582385,Jhanjharpur,940000
Chhedi Ram,Bhartiya Mitra Party,0,Literate,40,960000,Jhanjharpur,0
Devendra Prasad Yadav,Samajwadi Janata Dal Democratic,0,Graduate,65,11423806,Jhanjharpur,0
Ganga Prasad Yadav,Peoples Party of India (Democratic), 1 ,8th Pass,36,2062000,Jhanjharpur,0
Ganpati Jha,IND, 2 ,10th Pass,53,45305838,Jhanjharpur,350000
Gulab Yadav,RJD, 2 ,Literate,51,96821512,Jhanjharpur,16777175
Lakshman Prasad Yadav,RPI(A),0,12th Pass,34,4082100,Jhanjharpur,0
Om Prakash Poddar,IND, 3 ,Post Graduate,45,3143831,Jhanjharpur,0
Prabhat Prasad,Suheldev Bhartiya Samaj Party,0,12th Pass,65,3154218,Jhanjharpur,0
Raj Kumar Singh,BSP,0,Graduate Professional,63,79900219,Jhanjharpur,100000
Ramanand Thakur,SHS, 1 ,Post Graduate,48,11310000,Jhanjharpur,0
Ramesh Kamat,Aam Adhikar Morcha,0,Post Graduate,32,1656261,Jhanjharpur,1411261
Ratneshwar Jha,Aadarsh Mithila Party,0,12th Pass,55,5310000,Jhanjharpur,1500000
Sanjay Bhartia,IND,0,Post Graduate,31,1165326,Jhanjharpur,0
Surendra Prasad Suman,AIFB,0,Graduate,51,10855000,Jhanjharpur,0
Mahabali Singh,JD(U), 3 ,8th Pass,64,43442051,Karakat,3000000
Abhiram Priyadarshi,IND,0,10th Pass,30,535000,Karakat,0
Arif Isain Husain,Janta Dal Rashtravadi,0,Graduate,38,240000,Karakat,0
